"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Burundi","BDI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","47282","48570","49768","50890","51988","53080","54659","56221","57682","58926","59905","61823","63456","64880","66201","67438","68956","70515","72122","73781","75454","77510","79588","81616","83529","85340","87590","89743","91802","93760","95588","97366","98917","100196","101153","101795","104022","105822","107302","108631","109886","111387","113073","114880","116648","118268","120251","122149","123906","125413","126708","128444","130006","131752","134186","137644","142862","148873","",
"Belgium","BEL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","623486","634782","646973","661904","678421","694929","711248","726712","740723","753282","763594","776327","788759","799320","809457","819294","830598","841594","850785","855644","855047","851960","842763","831526","823635","822472","829224","842140","860467","878932","894360","910357","924204","936220","947168","957742","970137","982886","995007","1006336","1016562","1025901","1034905","1042322","1048599","1054928","1060927","1065524","1070260","1077485","1090157","1108564","1123796","1138859","1150756","1164803","1181002","1193791","",
"Benin","BEN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","66025","66640","67076","67262","67124","66640","68687","70531","72191","73711","75099","77151","79094","80917","82598","84136","86035","87792","89436","91003","92522","94320","96066","97722","99271","100700","102638","104478","106277","108094","109968","112113","114315","116559","118821","121094","123409","125643","127865","130155","132592","135585","138600","141744","145160","148937","153872","159016","164268","169457","174505","179820","184973","190017","194991","199962","205172","210310","",
"Burkina Faso","BFA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","51998","54554","56999","59353","61673","63996","67228","70404","73504","76509","79435","83181","86828","90399","93896","97327","101793","106127","110353","114512","118644","123766","128948","134143","139279","144319","149071","153632","157993","162138","166080","169839","173212","176258","179017","181537","184641","187407","189918","192260","194522","198085","201441","204677","207887","211137","216303","221404","226385","231143","235656","241792","247702","253494","259289","265218","273043","280780","",
"Bangladesh","BGD","Population ages 65 and above, female","SP.POP.65UP.FE.IN","598073","615809","633179","649781","665321","680060","710316","739363","765967","789154","808986","842626","873314","903026","933920","967544","1003619","1038115","1070373","1100290","1128033","1167138","1204416","1239465","1272052","1302752","1358145","1413629","1468925","1523975","1579009","1652809","1726924","1801612","1876828","1953079","2052819","2152523","2253250","2356315","2462689","2568705","2671913","2773782","2876511","2981355","3098678","3211497","3317705","3414859","3501952","3635644","3763416","3880811","3980774","4060591","4142888","4208653","",
"Bulgaria","BGR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","331932","340542","349846","359833","370567","381724","393053","404674","417210","430876","445147","459124","472745","486570","501129","514901","529084","544290","556430","565458","571653","572466","568324","562480","560111","563094","576260","595801","618627","633779","643163","658560","672063","686569","703988","720696","735849","749389","761024","771290","779434","777642","771614","774178","775928","777303","778942","780365","782572","787183","794614","804352","817439","832192","846253","857750","868275","875810","",
"Bahrain","BHR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2417","2350","2246","2084","1874","1613","1729","1867","2035","2246","2507","2579","2675","2784","2888","2980","3054","3105","3167","3251","3382","3737","4087","4419","4731","5029","5059","5071","5036","4973","4935","5282","5625","5918","6159","6392","6783","7167","7481","7721","7964","8216","8538","8931","9386","9893","10476","11160","11888","12580","13192","13701","14082","14405","14758","15227","15855","16630","",
"Bahamas, The","BHS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2451","2519","2603","2699","2804","2914","3003","3098","3195","3306","3416","3581","3713","3844","3978","4120","4275","4446","4632","4811","4970","5149","5297","5427","5557","5696","5811","5947","6099","6264","6437","6651","6863","7082","7325","7592","7901","8235","8595","8990","9411","9902","10414","10929","11467","12062","12599","13144","13682","14232","14794","15431","16140","16911","17734","18597","19520","20482","",
"Bosnia and Herzegovina","BIH","Population ages 65 and above, female","SP.POP.65UP.FE.IN","64235","66900","70064","73524","76964","80218","83310","86063","88615","91207","94028","99197","104483","109798","115020","120049","125065","130075","134822","138792","141772","143503","144168","144536","145697","148268","154230","161828","170486","179186","187192","194475","199988","204412","208956","214589","218525","223610","229917","237374","245743","256539","268775","281086","291336","298319","303210","304457","303589","303000","304063","306591","310382","315321","321052","327554","333679","340821","",
"Belarus","BLR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","442380","443461","445245","448347","453575","461394","474762","490721","508286","525886","542401","560108","576140","592129","609641","628754","647224","667845","688070","703018","711190","712203","706787","698894","694189","695894","702659","714296","727187","742891","760025","779621","803036","827283","846530","860097","874361","882096","886472","892709","902185","916105","931850","946535","955454","955425","950787","939810","925399","912742","904376","901125","902013","906643","913680","922653","935379","948869","",
