Region,Sub Region,Country,Count,Rate,Year
Europe,Western Europe,Monaco,4,11.62520344,2006
Europe,Western Europe,Netherlands,14485,88.10708274,2006
Europe,Western Europe,Switzerland,4088,54.64212815,2006
Oceania,Australia and New Zealand,New Zealand,2916,69.66215527,2006
Oceania,Melanesia,Solomon Islands,29,6.023821097,2006
Africa,Eastern Africa,Kenya,3492,9.168745323,2007
Africa,Eastern Africa,Mauritius,1633,132.3434186,2007
Africa,Eastern Africa,Mozambique,6008,27.07722738,2007
Africa,Eastern Africa,Uganda,5666,18.52209806,2007
Africa,Eastern Africa,Zimbabwe,9274,69.57286805,2007
Africa,Middle Africa,Sao Tome and Principe,0,0,2007
Africa,Northern Africa,Algeria,20518,59.81910944,2007
Africa,Northern Africa,Egypt,631,0.79333894,2007
Africa,Northern Africa,Morocco,22393,71.71294863,2007
Africa,Southern Africa,Lesotho,994,50.14410123,2007
Africa,Western Africa,Cote d'Ivoire,666,3.489479507,2007
Africa,Western Africa,Guinea,151,1.495534147,2007
Africa,Western Africa,Nigeria,2327,1.589296064,2007
Africa,Western Africa,Senegal,1589,13.38267884,2007
Africa,Western Africa,Sierra Leone,167,2.776199888,2007
Americas,Caribbean,Barbados,392,141.9518378,2007
Americas,Caribbean,Grenada,60,57.92288533,2007
Americas,Caribbean,Jamaica,1600,57.64795618,2007
Americas,Caribbean,St. Vincent and the Grenadines,56,51.35400332,2007
Americas,Caribbean,Trinidad and Tobago,4965,379.2218505,2007
Americas,Central America,Costa Rica,39688,908.3025878,2007
Americas,Central America,El Salvador,5705,93.77863803,2007
Americas,Central America,Guatemala,9587,69.97664136,2007
Americas,Central America,Mexico,610730,546.0925914,2007
Americas,Central America,Panama,6352,183.912998,2007
Americas,Northern America,Canada,34182,103.5192925,2007
Americas,Northern America,United States of America,447324,148.8127679,2007
Americas,South America,Argentina,339347,848.9994952,2007
Americas,South America,Bolivia (Plurinational State of),10481,111.0105615,2007
Americas,South America,Brazil,927667,485.6218036,2007
Americas,South America,Chile,93462,566.7218884,2007
Americas,South America,Colombia,51307,115.6225236,2007
Americas,South America,Paraguay,10688,179.1437338,2007
Americas,South America,Peru,41606,147.0554762,2007
Americas,South America,Uruguay,9173,274.6620172,2007
Asia,Central Asia,Kazakhstan,10925,68.96506012,2007
Asia,Central Asia,Kyrgyzstan,2488,47.94092938,2007
Asia,Central Asia,Tajikistan,257,3.593207021,2007
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,1216,17.62728356,2007
Asia,Eastern Asia,Japan,4567,3.553940376,2007
Asia,Eastern Asia,Mongolia,656,25.31186455,2007
Asia,Eastern Asia,Republic of Korea,4452,9.074153259,2007
Asia,South-Eastern Asia,Philippines,6520,7.301764104,2007
Asia,South-Eastern Asia,Singapore,989,20.89792179,2007
Asia,South-Eastern Asia,Thailand,928,1.401905549,2007
Asia,Southern Asia,India,19136,1.622133113,2007
Asia,Southern Asia,Maldives,410,121.9983932,2007
Asia,Western Asia,Armenia,199,6.784732375,2007
Asia,Western Asia,Bahrain,295,28.4778997,2007
Asia,Western Asia,Cyprus,74,6.956770254,2007
Asia,Western Asia,Georgia,1615,36.78367215,2007
Asia,Western Asia,Israel,3103,44.82364863,2007
Asia,Western Asia,Kuwait,723,28.88060685,2007
Asia,Western Asia,Oman,133,4.994813656,2007
Asia,Western Asia,Syrian Arab Republic,744,3.789575469,2007
Asia,Western Asia,Turkey,12664,18.19611315,2007
Asia,Western Asia,Yemen,310,1.425182188,2007
Europe,Eastern Europe,Belarus,8816,92.44128888,2007
Europe,Eastern Europe,Bulgaria,2996,39.59323632,2007
Europe,Eastern Europe,Czech Republic,4856,46.8880382,2007
Europe,Eastern Europe,Hungary,3119,31.11567399,2007
Europe,Eastern Europe,Poland,22766,59.39537305,2007
Europe,Eastern Europe,Republic of Moldova,153,3.705812725,2007
Europe,Eastern Europe,Romania,2496,11.86531104,2007
Europe,Eastern Europe,Russian Federation,295071,206.1269349,2007
Europe,Eastern Europe,Slovakia,1429,26.47116903,2007
Europe,Eastern Europe,Ukraine,32266,69.55924862,2007
Europe,Northern Europe,Denmark,2982,54.51596786,2007
Europe,Northern Europe,Estonia,887,65.99348844,2007
Europe,Northern Europe,Finland,1784,33.6729952,2007
Europe,Northern Europe,Iceland,42,13.76146789,2007
Europe,Northern Europe,Ireland,2171,49.36252763,2007
Europe,Northern Europe,Latvia,1468,66.77225294,2007
Europe,Northern Europe,Lithuania,3802,116.6225115,2007
Europe,Northern Europe,Norway,1464,31.01926245,2007
Europe,Northern Europe,Sweden,8673,94.64989633,2007
