Region,Sub Region,Country,Count,Rate,Year
Asia,South-Eastern Asia,Myanmar,11,0.021931619,2010
Asia,South-Eastern Asia,Singapore,820,16.16001728,2010
Asia,South-Eastern Asia,Thailand,6440,9.582077397,2010
Asia,Southern Asia,Bhutan,438,60.194519,2010
Asia,Southern Asia,India,90179,7.325785096,2010
Asia,Southern Asia,Maldives,143,39.2306405,2010
Asia,Southern Asia,Pakistan,16784,9.840514828,2010
Asia,Southern Asia,Sri Lanka,18344,90.81928611,2010
Asia,Western Asia,Armenia,2423,84.21057022,2010
Asia,Western Asia,Azerbaijan,110,1.21783032,2010
Asia,Western Asia,Cyprus,3232,290.4889148,2010
Asia,Western Asia,Georgia,12407,293.1945636,2010
Asia,Western Asia,Israel,35617,479.6282877,2010
Asia,Western Asia,Jordan,3,0.041768826,2010
Asia,Western Asia,State of Palestine,22,0.540962012,2010
Asia,Western Asia,Turkey,94289,130.3650257,2010
Europe,Eastern Europe,Bulgaria,24005,324.190806,2010
Europe,Eastern Europe,Czech Republic,58758,557.6727891,2010
Europe,Eastern Europe,Hungary,44250,445.7162887,2010
Europe,Eastern Europe,Poland,140085,365.5338323,2010
Europe,Eastern Europe,Republic of Moldova,4523,110.7362233,2010
Europe,Eastern Europe,Romania,14197,69.45576805,2010
Europe,Eastern Europe,Russian Federation,356373,248.9440226,2010
Europe,Eastern Europe,Slovakia,14783,273.5417429,2010
Europe,Northern Europe,Denmark,96683,1740.516925,2010
Europe,Northern Europe,Finland,32102,598.2725351,2010
Europe,Northern Europe,Iceland,2866,894.7079244,2010
Europe,Northern Europe,Ireland,25420,549.3925992,2010
Europe,Northern Europe,Latvia,1535,72.44502673,2010
Europe,Northern Europe,Norway,21298,435.9093698,2010
Europe,Northern Europe,Sweden,92722,987.4370725,2010
Europe,Northern Europe,United Kingdom (England and Wales),522683,938.5172557,2010
Europe,Northern Europe,United Kingdom (Northern Ireland),11852,656.6812553,2010
Europe,Northern Europe,United Kingdom (Scotland),25017,475.4095245,2010
Europe,Southern Europe,Albania,231,7.855740046,2010
Europe,Southern Europe,Andorra,133,157.4915037,2010
Europe,Southern Europe,Croatia,18452,426.3250398,2010
Europe,Southern Europe,Greece,80854,706.3949387,2010
Europe,Southern Europe,Kosovo under UNSCR 1244,7019,395.2851865,2010
Europe,Southern Europe,Malta,1660,398.9329745,2010
Europe,Southern Europe,Montenegro,1381,221.2130677,2010
Europe,Southern Europe,Portugal,50650,475.4832304,2010
Europe,Southern Europe,Serbia,15177,168.0783759,2010
Europe,Southern Europe,Slovenia,13430,656.6697699,2010
Europe,Southern Europe,Spain,200388,428.2835381,2010
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,13399,647.0636811,2010
Europe,Western Europe,Austria,66590,791.8002832,2010
Europe,Western Europe,Belgium,91395,835.5167812,2010
Europe,Western Europe,France,327330,519.3509929,2010
Europe,Western Europe,Germany,397341,491.1824662,2010
Europe,Western Europe,Liechtenstein,102,283.3097242,2010
Europe,Western Europe,Luxembourg,2413,475.1038121,2010
Europe,Western Europe,Netherlands,292585,1753.80001,2010
Europe,Western Europe,Switzerland,62243,794.7297047,2010
Oceania,Australia and New Zealand,Australia,208098,940.7658133,2010
Oceania,Australia and New Zealand,New Zealand,59323,1357.486461,2010
Africa,Eastern Africa,Kenya,1874,4.410777653,2011
Africa,Eastern Africa,Madagascar,600,2.759388371,2011
Africa,Eastern Africa,Mauritius,1295,103.5152831,2011
Africa,Eastern Africa,Rwanda,2233,21.23416626,2011
Africa,Eastern Africa,Uganda,7753,22.09231711,2011
Africa,Eastern Africa,United Republic of Tanzania,15916,33.4574274,2011
Africa,Middle Africa,Cameroon,603,2.938532479,2011
Africa,Northern Africa,Algeria,9074,24.64451094,2011
Africa,Northern Africa,Egypt,2673,3.111846214,2011
Africa,Southern Africa,Botswana,4261,207.7179832,2011
Americas,Caribbean,Bahamas,340,92.75223151,2011
Americas,Caribbean,Barbados,1762,627.9378905,2011
Americas,Caribbean,Grenada,1505,1432.310255,2011
Americas,Caribbean,Jamaica,3504,123.8384403,2011
Americas,Caribbean,Puerto Rico,16591,447.5606045,2011
Americas,Caribbean,St. Kitts and Nevis,449,863.3619198,2011
Americas,Caribbean,St. Vincent and the Grenadines,1769,1617.874356,2011
Americas,Caribbean,Trinidad and Tobago,4220,316.1550748,2011
Americas,Central America,Belize,1094,332.3288537,2011
Americas,Central America,Costa Rica,17603,382.6344851,2011
Americas,Central America,El Salvador,479,7.735088558,2011
Americas,Central America,Guatemala,1818,12.16141448,2011
Americas,Central America,Mexico,195551,164.2043598,2011
Americas,Central America,Panama,3015,81.31546029,2011
Americas,Northern America,Bermuda,853,1341.59576,2011
Americas,Northern America,Canada,180927,523.8396598,2011
Americas,Northern America,United States of America,2185140,702.5013196,2011
Americas,South America,Brazil,369526,185.9842769,2011
Americas,South America,Chile,124146,723.7417142,2011
Americas,South America,Colombia,33261,71.67292374,2011
Americas,South America,Guyana,1936,258.4434655,2011
Asia,Central Asia,Kazakhstan,58168,349.41234,2011
Asia,Central Asia,Kyrgyzstan,8600,156.1761965,2011
Asia,Central Asia,Tajikistan,614,7.855731914,2011
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,4382,62.01690817,2011
Asia,Eastern Asia,Japan,126382,98.34761884,2011
Asia,Eastern Asia,Macao Special Administrative Region of China,237,43.1349067,2011
Asia,Eastern Asia,Mongolia,3760,136.1570963,2011
Asia,Eastern Asia,Republic of Korea,100086,201.1994896,2011
Asia,South-Eastern Asia,Indonesia,49988,20.34451442,2011
Asia,South-Eastern Asia,Myanmar,158,0.31254308,2011
Asia,South-Eastern Asia,Singapore,637,12.3067602,2011
Asia,South-Eastern Asia,Thailand,5980,8.855306513,2011
Asia,Southern Asia,Bhutan,412,55.63733103,2011
Asia,Southern Asia,India,92504,7.416719678,2011
Asia,Southern Asia,Maldives,111,29.58966334,2011
Asia,Southern Asia,Pakistan,18073,10.3757937,2011
Asia,Southern Asia,Sri Lanka,17023,83.79515508,2011
Asia,Western Asia,Armenia,2420,84.15690603,2011
Asia,Western Asia,Azerbaijan,702,7.675168501,2011
Asia,Western Asia,Cyprus,3379,300.3996142,2011
Asia,Western Asia,Israel,32124,424.4280514,2011
Asia,Western Asia,Jordan,3,0.039604258,2011
Asia,Western Asia,State of Palestine,34,0.813616105,2011
Asia,Western Asia,Turkey,100644,137.0995058,2011
Europe,Eastern Europe,Bulgaria,20272,275.5765772,2011
Europe,Eastern Europe,Czech Republic,59672,564.6097941,2011
Europe,Eastern Europe,Hungary,45273,457.3860066,2011
Europe,Eastern Europe,Poland,135611,353.8821731,2011
Europe,Eastern Europe,Republic of Moldova,6103,149.6798915,2011
Europe,Eastern Europe,Romania,16311,80.37760077,2011
Europe,Eastern Europe,Russian Federation,314243,219.3454227,2011
Europe,Eastern Europe,Slovakia,12884,238.1583065,2011
Europe,Northern Europe,Denmark,91732,1643.096664,2011
Europe,Northern Europe,Finland,33032,612.9247861,2011
Europe,Northern Europe,Iceland,1900,587.4750323,2011
Europe,Northern Europe,Ireland,27695,593.9845738,2011
